"Requested quantity is not available","Requested quantity is not available","duplicate (153-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Model/Cart.php, 186-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Model/Cart.php, 216-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Model/Cart.php, 153-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Model/Cart.php, 186-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Model/Cart.php, 216-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Model/Cart.php)"
"Review Order","Review Order","duplicate (33-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Block/Multishipping/Overview.php, 33-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Block/Multishipping/Overview.php, 22-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//multishipping/overview.phtml)"
"Select Addresses","Select Addresses","duplicate (44-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Model/Type/Multishipping/State.php, 44-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Model/Type/Multishipping/State.php)"
"Select State/Province...","Select State/Province...","duplicate (98-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/billing.phtml, 90-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/shipping.phtml)"
"Ship to Multiple Addresses","Ship to Multiple Addresses","duplicate (33-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Block/Multishipping/Addresses.php, 33-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Block/Multishipping/Addresses.php, 29-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//multishipping/addresses.phtml)"
"Shipping Address","Shipping Address","duplicate (25-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//standard/shipping.phtml, 40-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/progress.phtml, 45-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/progress.phtml)"
"Shipping Information","Shipping Information","duplicate (47-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Model/Type/Multishipping/State.php, 30-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Block/Onepage/Shipping.php, 47-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Model/Type/Multishipping/State.php, 30-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Block/Onepage/Shipping.php, 23-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//standard/shipping.phtml, 50-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//multishipping/overview.phtml)"
"Shipping Method","Shipping Method","duplicate (33-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Block/Onepage/Shipping/Method.php, 33-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Block/Onepage/Shipping/Method.php, 34-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//standard/shipping.phtml, 37-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//standard/shipping.phtml, 51-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//multishipping/shipping.phtml, 63-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//multishipping/overview.phtml, 50-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/progress.phtml, 59-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/progress.phtml)"
"Shipping Methods","Shipping Methods","duplicate (33-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Block/Multishipping/Shipping.php, 33-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Block/Multishipping/Shipping.php)"
"Shipping to","Shipping to","duplicate (42-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//multishipping/shipping.phtml, 56-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//multishipping/overview.phtml)"
"Some of the products you requested are not available in the desired quantity","Some of the products you requested are not available in the desired quantity","duplicate (296-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Model/Cart.php, 296-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Model/Cart.php)"
"Some of the products you requested are unavailable","Some of the products you requested are unavailable","duplicate (293-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Model/Cart.php, 293-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Model/Cart.php)"
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time.","duplicate (54-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//multishipping/shipping.phtml, 22-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/shipping_method/available.phtml)"
State/Province,State/Province,"duplicate (156-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Block/Onepage/Abstract.php, 156-/home/vasily/dev/magento/app/code/core/Mage/Checkout//Block/Onepage/Abstract.php, 52-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/billing.phtml, 53-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/billing.phtml, 56-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/billing.phtml, 52-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/shipping.phtml, 53-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/shipping.phtml, 56-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/shipping.phtml)"
"Street Address","Street Address","duplicate (46-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/billing.phtml, 46-/home/vasily/dev/magento/app/design/frontend/default/default/template/checkout//onepage/shipping.phtml)"
